"longitude","latitude","GST"
"12.0","30.0","21.472063191731795"
"-2.0","52.0","9.46147867838544"
"9.0","52.0","9.58848571777346"
"3.0","51.0","10.549488321940126"
"15.0","51.0","8.015967814127627"
"26.0","50.0","7.052845255533877"
"36.0","50.0","6.141512044270856"
"28.0","46.0","10.023041788737002"
"-11.0","45.0","15.287756347656273"
"25.0","45.0","8.107397460937523"
"33.0","45.0","13.502066040039086"
"-13.0","44.0","15.797262573242211"
"-6.0","43.0","7.700816853841169"
"20.0","41.0","13.138830566406273"
"-2.0","38.0","13.977211507161481"
"33.0","38.0","11.757349650065127"
"22.0","37.0","17.48283386230471"
"-6.0","36.0","19.570307413737"
"36.0","36.0","19.244915771484397"
"12.0","35.0","22.572444661458356"
"-12.0","34.0","19.959564208984396"
"21.0","32.0","20.78525594075523"
"3.0","31.0","21.811976114908877"
"4.0","31.0","22.784673055013045"
"-10.0","30.0","20.356148274739606"
"17.0","29.0","23.39002380371096"
"32.0","29.0","20.80644226074221"
"-9.0","32.0","21.084462483723982"
"-11.0","52.0","11.939832560221378"
"25.0","52.0","7.081546020507835"
"8.0","49.0","9.788804117838565"
"38.0","48.0","7.254141235351585"
"-2.0","45.0","15.511272176106793"
"9.0","45.0","10.72283121744794"
"5.0","43.0","16.573536173502628"
"7.0","43.0","17.815383911132834"
"8.0","42.0","18.535769653320337"
"14.0","41.0","16.694386800130232"
"24.0","40.0","17.755532836914085"
"21.0","39.0","14.600628662109397"
"-11.0","38.0","18.256289672851587"
"4.0","37.0","19.765728759765647"
"30.0","37.0","10.523176066080753"
"5.0","36.0","14.361550903320335"
"38.0","34.0","18.057888793945335"
"8.0","30.0","22.807388305664084"
"23.0","30.0","22.856242879231793"
"31.0","30.0","23.24804382324221"
"-1.0","29.0","23.436927286783877"
"24.0","29.0","21.938061523437522"
"-9.0","51.0","12.31706746419273"
"29.0","51.0","6.3239003499349185"
"4.0","49.0","10.235261027018252"
"27.0","48.0","8.27939147949221"
"-1.0","45.0","13.777932739257835"
"17.0","45.0","10.543316650390647"
"29.0","44.0","14.542920939127628"
"2.0","31.0","21.09236450195315"
"29.0","31.0","22.95886230468752"
"0.0","33.0","16.892591349283876"
"-5.0","42.0","10.797417195638044"
"10.0","41.0","19.040747070312523"
"27.0","41.0","14.900780232747419"
"-10.0","40.0","16.50204976399742"
"35.0","36.0","23.068165079752628"
"-7.0","35.0","20.1481384277344"
"10.0","34.0","22.057078043619814"
"31.0","33.0","22.738359578450545"
"-13.0","51.0","12.345906575520855"
"35.0","50.0","6.3408884684245015"
"30.0","49.0","7.018389892578147"
"16.0","47.0","8.816282145182315"
"14.0","46.0","8.43325602213544"
"11.0","44.0","11.065122477213565"
"21.0","44.0","10.267121378580752"
"-4.0","43.0","9.991625976562522"
"12.0","33.0","23.209270222981793"
"4.0","42.0","17.52715250651044"
"22.0","42.0","9.906279500325544"
"0.0","40.0","16.39267476399742"
"12.0","40.0","20.214133707682315"
"31.0","40.0","10.549727376302107"
"32.0","38.0","10.690168253580753"
"-13.0","37.0","18.73832702636721"
"15.0","37.0","19.621592203776064"
"-3.0","36.0","19.85308024088544"
"6.0","30.0","23.073283894856793"
"-1.0","52.0","9.417359415690127"
"17.0","52.0","9.166046142578148"
"2.0","51.0","11.233612060546898"
"-4.0","50.0","12.390295410156273"
"-5.0","49.0","13.140158081054711"
"6.0","49.0","9.729706827799502"
"-12.0","48.0","13.917292277018252"
"10.0","48.0","7.794402058919293"
"0.0","47.0","11.357008870442732"
"38.0","46.0","10.523105875651064"
"-3.0","43.0","11.603912353515648"
"18.0","43.0","11.829930623372418"
"35.0","43.0","15.300540161132835"
"15.0","31.0","23.425416056315125"
"16.0","33.0","23.442840576171896"
"-4.0","36.0","20.132395426432314"
"18.0","36.0","21.85711364746096"
"-8.0","34.0","20.032306925455753"
"27.0","34.0","21.734148152669295"
"37.0","34.0","16.40397135416669"
"23.0","33.0","22.870571899414085"
"11.0","51.0","8.596240234375022"
"21.0","51.0","7.8104817708333565"
"37.0","48.0","7.6917277018229395"
"12.0","47.0","0.6765045166015853"
"31.0","47.0","9.55760701497398"
"20.0","46.0","11.757419840494814"
"-9.0","44.0","15.773323567708356"
"28.0","32.0","22.840141805013044"
"-13.0","31.0","21.02696228027346"
"-7.0","30.0","21.937978108723982"
"6.0","42.0","17.86883951822919"
"30.0","42.0","16.358441162109397"
"37.0","41.0","12.104610188802106"
"16.0","40.0","14.874383544921898"
"28.0","39.0","14.04729410807294"
"-1.0","38.0","18.36062927246096"
"17.0","38.0","21.098843383789085"
"8.0","35.0","15.152562459309918"
"19.0","34.0","22.81583658854169"
"-10.0","33.0","20.56724548339846"
"14.0","51.0","8.644904581705752"
"-1.0","50.0","13.151788330078148"
"21.0","49.0","6.083010864257835"
"4.0","47.0","9.518442789713564"
"22.0","47.0","10.20919596354169"
"-4.0","46.0","14.94816589355471"
"-10.0","45.0","15.357044474283876"
"12.0","45.0","14.116770426432314"
"-12.0","44.0","15.713097127278669"
"-1.0","43.0","9.63827819824221"
"28.0","37.0","18.796729532877627"
"5.0","32.0","22.47275085449221"
"20.0","31.0","23.78770446777346"
"-13.0","30.0","21.32098388671877"
"-9.0","30.0","19.460163370768253"
"2.0","30.0","22.424134318033875"
"4.0","29.0","23.365895589192732"
"-8.0","32.0","20.808124796549503"
"-11.0","41.0","16.763960774739605"
"15.0","40.0","20.085490926106793"
"7.0","39.0","19.908662923177108"
"25.0","34.0","22.01538696289065"
"8.0","52.0","9.865820312500023"
"31.0","52.0","5.894490559895856"
"-12.0","51.0","12.371387736002626"
"17.0","50.0","6.6655436197916895"
"24.0","50.0","7.834090169270856"
"-3.0","48.0","10.794087727864605"
"13.0","48.0","8.265280151367211"
"34.0","48.0","8.279558308919293"
"5.0","46.0","10.025601196289085"
"14.0","44.0","17.947940063476587"
"24.0","43.0","8.947282918294293"
"11.0","30.0","21.630332438151065"
"21.0","30.0","23.399194335937523"
"22.0","29.0","22.929498291015648"
"30.0","29.0","22.48916422526044"
"3.0","33.0","18.658215332031272"
"15.0","33.0","23.555713907877628"
"22.0","40.0","12.513919067382835"
"19.0","39.0","20.116914876302108"
"32.0","36.0","22.366353352864607"
"-9.0","35.0","19.592357381184918"
"2.0","35.0","16.010077921549502"
"11.0","35.0","22.06769205729169"
"-11.0","34.0","20.086983235677106"
"23.0","52.0","7.3820363362630435"
"38.0","51.0","5.124412027994814"
"32.0","50.0","6.834812418619815"
"18.0","48.0","10.48074645996096"
"3.0","47.0","10.707976277669294"
"8.0","45.0","11.29635213216148"
"23.0","45.0","7.217697143554711"
"32.0","43.0","15.62786051432294"
"23.0","38.0","17.234431966145856"
"7.0","32.0","22.178698730468774"
"19.0","32.0","23.718064371744813"
"36.0","32.0","19.751448567708355"
"38.0","31.0","20.85091959635419"
"1.0","42.0","11.15227966308596"
"-2.0","41.0","9.993658447265648"
"13.0","41.0","19.501199340820335"
"3.0","40.0","19.152193196614608"
"-8.0","39.0","15.742971801757836"
"-6.0","39.0","15.452805582682315"
"24.0","36.0","20.500818888346377"
"21.0","35.0","21.867871093750022"
"-2.0","34.0","16.092945353190128"
"-10.0","52.0","10.197374471028668"
"12.0","52.0","10.057191975911481"
"1.0","49.0","10.099375406901064"
"-2.0","48.0","11.099237060546898"
"15.0","47.0","5.948052978515648"
"26.0","46.0","5.407381184895856"
"31.0","45.0","14.10675964355471"
"38.0","44.0","14.50652770996096"
"8.0","38.0","20.24521687825523"
"20.0","37.0","21.255154418945335"
"29.0","30.0","22.261206054687523"
"-5.0","29.0","23.107839965820336"
"6.0","29.0","23.40386962890627"
"-6.0","32.0","10.855730183919293"
"-3.0","41.0","10.443533325195336"
"18.0","41.0","19.06867370605471"
"34.0","41.0","8.570135498046898"
"36.0","39.0","8.417094930013043"
"37.0","39.0","7.42245788574221"
"-10.0","38.0","18.039561971028668"
"-13.0","35.0","19.468870035807313"
"29.0","35.0","21.89249165852867"
"13.0","34.0","23.01919148763023"
"34.0","34.0","22.874045817057315"
"16.0","51.0","7.791742960612002"
"33.0","49.0","7.5261088053385645"
"26.0","47.0","4.73879089355471"
"-5.0","46.0","14.767586263020856"
"0.0","44.0","12.995859781901064"
"-2.0","35.0","18.72217407226565"
"35.0","33.0","21.996912638346377"
"25.0","30.0","22.156270345052107"
"34.0","30.0","20.068065388997418"
"19.0","29.0","23.67048034667971"
"26.0","29.0","22.147336832682313"
"0.0","51.0","10.475959269205752"
"15.0","48.0","6.762862141927106"
"35.0","47.0","9.27304382324221"
"-12.0","45.0","15.354465738932314"
"14.0","45.0","14.99772644042971"
"33.0","42.0","14.08205769856773"
"-4.0","40.0","13.495465087890647"
"26.0","40.0","16.77553609212242"
"35.0","40.0","9.65044860839846"
"8.0","39.0","19.592480468750022"
"32.0","37.0","11.088816324869814"
"1.0","36.0","18.430789184570337"
"25.0","35.0","19.721738688151063"
"23.0","32.0","21.723282877604188"
"33.0","30.0","20.8612243652344"
